Index;Value;Cl-;Cl+;SE 
1;0,025966125;-6,693273498;6,745205748;3,428183481
2;2,842301723;1,015736122;4,668867325;0,931921225
3;4,180399663;0,517031762;7,843767565;1,869065256
4;2,117507014;1,797865153;2,437148874;0,163082582
5;1,867126853;1,504596737;2,229656969;0,184964345
6;2,288974964;1,479958452;3,097991476;0,412763527
7;2,355758615;2,075403709;2,63611352;0,143038217
8;3,61163524;3,071244747;4,152025733;0,275709435
9;0,946382864;-0,676535533;2,56930126;0,82801959
10;-4,897691306;-23,81288;14,01749738;9,650606474
11;2,026089394;0,555003238;3,49717555;0,750554161
12;0,057768654;-2,191605417;2,307142725;1,147639832
13;5,603422115;-11,93897827;23,1458225;8,950204276
14;-4,350568445;-23,6932686;14,99213171;9,868724569
15;1,041866651;0,836330764;1,247402538;0,104865249
16;-0,368376901;-1,457264797;0,720510994;0,555555049
17;1,716575555;0,751197134;2,681953976;0,492540011
18;-5,418675254;-22,34888583;11,51153532;8,63786254
19;0,455724388;-0,212525603;1,123974379;0,340943873
20;0,77695926;0,77695926;0,77695926;0
21;1,062522768;0,125701884;1,999343652;0,477969839
22;0,13512076;-1,421034864;1,691276384;0,793956951
23;1,66993375;0,161461997;3,178405503;0,769628445
24;1,407094236;-0,957484774;3,771673247;1,206417863
25;1,793421176;-0,365264795;3,952107147;1,101370393
26;-0,499065241;-10,85130142;9,853170937;5,281753152
27;2,006270266;1,781937411;2,23060312;0,114455538
28;1,019190626;0,251331477;1,787049776;0,391764872
29;1,477935792;0,70416386;2,251707725;0,394781598
30;0,162613629;-1,64927776;1,974505018;0,924434382
31;0,944473259;0,308852044;1,580094473;0,324296538
32;-4,720211727;-21,6794635;12,23904004;8,652679474
33;0,078618481;-0,625509087;0,782746048;0,359248759
34;-0,152450609;-2,652323186;2,347421969;1,275445193
35;7,051179132;-12,21617278;26,31853104;9,830281586
36;-0,493596311;-3,52887925;2,541686628;1,548613744
37;1,793133568;-0,365722693;3,951989829;1,101457276
38;0,004384613;-1,956112911;1,964882138;1,000253839
39;1,21814386;1,059066541;1,377221178;0,081161897
40;-0,155251331;-0,9701424;0,659639737;0,415760749
41;1,502429819;0,774057381;2,230802257;0,371618591
42;-0,439879824;-2,36280082;1,483041172;0,981082141
43;0,601887819;0,063619081;1,140156557;0,274626907
44;-3,201874845;-17,47739931;11,07364962;7,283430848
45;-0,552484585;-1,285731296;0,180762126;0,374105465
46;-0,63094162;-3,871062332;2,609179093;1,653122812
47;1,023850411;-0,29229574;2,339996562;0,671503138
48;1,590186383;-5,091802538;8,272175304;3,409178021
49;-0,510663637;-1,986388876;0,965061602;0,75292104
50;0,218124233;-1,849120589;2,285369055;1,054716746
51;0,137673838;0,005190372;0,270157304;0,067593605
52;-0,996452443;-2,063712208;0,070807321;0,544520288
53;0,475034053;-0,09419538;1,044263486;0,29042318
54;4,032359035;-0,566156875;8,630874945;2,346181587
55;-0,152907746;-0,666541613;0,360726121;0,262058095
56;-3,793206229;-17,87993587;10,29352341;7,187106958
57;-2,286725301;-3,483384426;-1,090066177;0,61054037
58;-5,861886615;-25,73018901;14,00641578;10,13688898
59;-0,170217944;-1,312011018;0,97157513;0,582547487
60;0,737347627;-6,710450983;8,185146236;3,79989725
61;-0,511327763;-1,994745333;0,972089806;0,756845699
62;0,128045428;-2,082168597;2,338259453;1,127660217
63;-0,857727107;-1,002254329;-0,713199886;0,073738378
64;-7,295100383;-27,3775672;12,78736643;10,24615654
65;-0,962117029;-1,570797585;-0,353436474;0,310551304
