Index;Value;Cl-;Cl+;SE ;
1;0,25044312;0,250070615;0,250815625;0,000190053;0,562285565
2;2,373903446;2,1351569;2,612649992;0,121809462;0,914815542
3;2,144546509;1,924866477;2,364226542;0,112081649;0,895158068
1;-1,672934929;-1,957978069;-1,38789179;0,145430173;0,678660373
2;-2,309489124;-2,716336954;-1,902641293;0,207575424;0,090340119
3;0,581614804;0,581614804;0,581614804;0;0,641438888
4;1,07491543;0,614451568;1,535379291;0,234930542;0,74553057
5;0,08255527;-0,359492712;0,524603251;0,225534684;0,520627104
6;-1,195632177;-1,801870761;-0,589393593;0,3093054;0,232253139
7;-1,581102902;-2,270510084;-0,891695721;0,351738358;0,170639341
8;-1,162412577;-1,76817573;-0,556649423;0,309062833;0,238229184
9;1,385537389;1,011584941;1,759489837;0,190792065;0,799878857
10;1,440201361;1,103146145;1,777256577;0,171966947;0,808485831
11;0,073651124;-0,289253768;0,436556016;0,185155557;0,518404462
12;0,749733667;0,414460155;1,085007179;0,171057914;0,679120664
13;-1,196924035;-1,687339858;-0,706508213;0,250212154;0,232022865
14;0,360569241;0,009685194;0,711453288;0,179022473;0,589178224
15;-0,029271434;-0,397089251;0,338546383;0,187662151;0,492682664
