"","SCL","BM","ind","sex","year","res","season","loc","BCI","log_BCI","loc_sex_cohort","year_recode"
"1",188,1194,"1","m",2020,6.515137048,"sum","p",6.35106383,1.84877977269787,"p_m",13
"2",186.6,1205,"1","m",2011,1.939037976,"sp","p",6.457663451,1.86542240025852,"p_m",4
"3",185.7,1239,"1","m",2010,1.25147289,"sp","p",6.672051696,1.89807728093177,"p_m",3
"4",187,1291,"1","m",2020,0.510238579,"sum","p",6.903743316,1.93220861252801,"p_m",13
"5",181,1230,"1","m",2017,-1.111269316,"sp","p",6.79558011,1.91641956067287,"p_m",10
"6",185.5,1269,"1","m",2014,-1.425257715,"sum","p",6.84097035,1.92307575301782,"p_m",7
"7",185,1302,"1","m",2016,-1.53139026,"sum","p",7.037837838,1.95144307671323,"p_m",9
"8",184,1245,"1","m",2019,-1.897886096,"sp","p",6.766304348,1.91210283156014,"p_m",12
"9",184.16,1271,"1","m",2009,-2.023,"sum","p",6.901607298,1.93189920950396,"p_m",2
"10",184,1305,"1","m",2018,-3.012112862,"sp","p",7.092391304,1.95916354832833,"p_m",11
"11",183.1,1230,"1","m",2008,-3.382,"sum","p",6.717640634,1.90488584746522,"p_m",1
"12",182.3,1300,"1","m",2011,-6.090160939,"sum","p",7.131102578,1.96460608267929,"p_m",4
"13",199,1409,"2","m",2009,3.9506,"sp","p",7.08040201,1.95747191211276,"p_m",2
"14",200,1517,"2","m",2023,2.27877231,"sum","p",7.585,2.02630444326671,"p_m",16
"15",200,1477,"2","m",2011,2.182931624,"sum","p",7.385,1.99958631643037,"p_m",4
"16",198,1521,"2","m",2016,0.97469682,"sp","p",7.681818182,2.03898643063086,"p_m",9
"17",198,1458,"2","m",2019,0.119334032,"sp","p",7.363636364,1.99668967517226,"p_m",12
"18",196,1500,"2","m",2017,-0.359716422,"sp","p",7.653061224,2.03523638592631,"p_m",10
"19",199,1530,"2","m",2022,-0.582803276,"sp","p",7.688442211,2.03984824655651,"p_m",15
"20",198.4,1534,"2","m",2012,-2.322350023,"sp","p",7.731854839,2.04547811382262,"p_m",5
