ind,Locality,SCL,BM,Eggs,Date,Age
289,Beach,177,1184,4,45434,30
89,Konjsko,249,2913,11,45068,30
89,Konjsko,248,2880,10,45429,30
455,Konjsko,203,1823,7,45068,30
30,Konjsko,212,2047,6,45429,30
357,Konjsko,218,1994,6,45429,30
477,Konjsko,204,1494,6,45068,30
587,Konjsko,225,2434,6,44703,30
743,Konjsko,208,1841,6,45068,30
1121,Konjsko,196,1712,6,45068,30
79,Konjsko,205,1635,5,45068,30
858,Konjsko,192,1479,5,45068,30
1078,Konjsko,188,1459,5,44704,30
445,Konjsko,186,1443,4,45429,30
89,Konjsko,260,2920,11,45797,30
514,Konjsko,226,2093,6,45794,30
837,Konjsko,223,2017,6,45794,30
939,Konjsko,206,1519,5,45794,30
904,Konjsko,199,1618,4,45797,30
129,Plateau,188,1333,4,45799,30
129,Plateau,188,1373,2,45433,30
829,Konjsko,212,1971,7,45429,24
263,Plateau,176,1188,4,45799,24
1068,Plateau,176,1161,3,45799,24
1348,Beach,149,733,1,45800,23
1136,Konjsko,240,2660,6,45797,23
1069,Beach,166,997,3,45800,22
444,Konjsko,195,1518,6,45068,22
658,Konjsko,186,1391,6,45429,22
713,Plateau,212,1579,5,45432,22
1170,Plateau,176,1116,5,45799,22
582,Plateau,189,1300,3,45432,22
753,Beach,155,851,3,45800,21
1348,Beach,148,727,2,45066,21
1364,Beach,155,737,2,45434,21
397,Konjsko,192,1515,6,45429,21
1570,Plateau,200,1639,5,45433,21
1363,Beach,142,541,3,45066,20
166,Konjsko,208,1848,6,45068,20
834,Konjsko,196,1578,5,45429,20
640,Konjsko,192,1361,5,44704,20
1021,Konjsko,194,1689,5,44704,20
828,Konjsko,184,1265,4,44704,20
1096,Beach,156,957,3,45065,19
322,Konjsko,199,1618,5,45797,19
1096,Beach,157,959,3,44701,18
1218,Beach,164,973,3,45799,18
1222,Beach,158,807,3,45800,17
130,Konjsko,196,1702,6,45068,17
708,Plateau,156,898,3,45064,17
1218,Beach,159,930,2,45066,16
1222,Beach,155,804,1,45434,16
957,Konjsko,187,1543,5,45429,15
