"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,1.76970316487414,2.44396082170488,3.10498970462055
2010,3.37522703456841,5.28968612071912,6.70209014116887
2011,1.6036377700807e-05,3.51837913041691,4.27100473403305
2012,2.45357265414481,4.35529499147176,6.17094544000303
2013,1.67186525664751,3.9030926075202,7.69242020042383
2014,1.11645350122881,2.69665382535712,5.30453105991835
2015,1.45896165318923,4.25192948738542,10.6353805602358
2016,2.26899553941298,3.27055091163424,3.87804605546615
2017,1.77186034025895,3.30516797776483,4.96177375712649
2018,1.57010139670011,2.56097739505189,3.79144796999064
2019,1.44005434259866,2.30103998087527,3.18946886730514
2020,1.12522669512003,2.11935613365776,3.51730333512718
2021,1.16449903952168,2.27658590821725,4.02633342011615
2022,1.00855085651824,2.90318261788848,7.69753581951711
2023,1.09988734934516,2.58272416364146,4.27498131651114
