"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,20.5842892100032,22.5691599204295,30.9514457680639
2010,9.37983165926492,10.6864339211956,16.5115719283245
2011,15.0000000000596,15.0126282165035,3613478.26180088
2012,9.84170001190494,12.2171241187222,21.3177626164828
2013,11.0644799578016,17.5076744888321,37.7802591651083
2014,11.9045718843312,21.5597177599236,50.9901860016466
2015,9.63579694558948,20.1281837452585,52.8838212951375
2016,19.6262771454738,21.8098653326852,31.2019560952183
2017,10.065351958663,14.0198277355532,25.5716954903569
2018,17.6694282356034,22.9896022508451,35.9779450005868
2019,18.6479001900225,24.1450600660835,38.0466207846353
2020,16.5243197744115,24.8959532317934,45.2918827237007
2021,14.0325115923579,21.099539244112,38.3664949645078
2022,7.8293902923519,15.0494735823578,35.8567085974473
2023,15.2386421999386,17.3919985912231,40.438141334602
