"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,50.2326304274875,55.3510169015827,69.0970729093372
2010,50.76580166908,56.4451772097696,68.9834970706078
2011,49.7994540264316,55.0018565656489,65.8188539573526
2012,44.7656222095397,53.3520953423986,69.3848314611761
2013,46.2359373970589,68.6995413269284,110.562497411137
2014,45.1112007660755,57.884767822014,79.5731368731494
2015,53.9072355275876,85.6885198179706,149.108492936402
2016,67.0216564155568,71.2136184329339,81.023954803078
2017,39.3085225303853,46.2246224263426,58.2264732150406
2018,48.0015156645041,58.984579739921,78.2279072079529
2019,48.6786994485888,55.4777081871941,68.1144011151888
2020,42.2262561769082,52.5878331753761,71.4106415640414
2021,35.7975833501276,47.7728074410633,70.9781155685574
2022,24.299570797556,44.1470999917685,86.6262423976353
2023,33.7458407246693,46.8072204639151,72.9442555949081
