"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,2.49253966883681,3.44219834042941,4.37322493608529
2010,4.75384089375832,7.45026214185791,9.43956357911109
2011,2.25864474659253e-05,4.95546356396748,6.01549962539867
2012,3.45573613259833,6.13421829784755,8.6914724507085
2013,2.35473979809509,5.49731353171859,10.8343946484843
2014,1.57246972004058,3.79810397937623,7.47117050692726
2015,2.05487556787215,5.98863308082454,14.9794092397687
2016,3.19576836537039,4.60640973469611,5.46203669783965
2017,2.49557794402669,4.65516616586596,6.98841374243168
2018,2.21141041788748,3.60701041556604,5.3400675633671
2019,2.02824555295586,3.24090138151447,4.49220967226076
2020,1.58482633115497,2.98500863895459,4.95394835933405
2021,1.64013949228406,3.2064590256581,5.67089214100867
2022,1.4204941641102,4.08898960265983,10.8415997457987
2023,1.54913711175375,3.63763966710065,6.02110044579034
