"Variable","Q_0.025","Q_0.5","Q_0.975"
2011,0.931034482758621,0.931034482758621,0.931034482758621
2012,0.938775510204081,0.938775510204082,0.938775510204082
2013,0.388888888888889,0.388888888888889,0.388888888888889
2014,1.25,1.25,1.25
2015,0.866666666666667,0.866666666666667,0.866666666666667
2016,0.57396449704142,0.57396449704142,0.57396449704142
2017,0.625,0.625,0.625
2018,0.450704225352113,0.450704225352113,0.450704225352113
2019,0.612244897959184,0.612244897959184,0.612244897959184
2020,2.2,2.2,2.2
2021,0.759493670886076,0.759493670886076,0.759493670886076
2022,0.311688311688312,0.311688311688312,0.311688311688312
2023,0.745454545454545,0.745454545454545,0.745454545454546
