"Variable","Q_0.025","Q_0.5","Q_0.975"
2011,197.129058561038,245.614672350313,315.013440570169
2012,220.070221873393,289.518573896541,389.957167621025
2013,405.090195080402,673.171226154152,1127.02378249535
2014,119.121481747077,214.418219359297,398.120479349981
2015,162.574195259695,270.251420596124,451.606744354377
2016,340.940442473034,394.487737794915,463.384643457967
2017,353.869286323317,397.814297282468,450.768658996935
2018,345.655577622541,423.718186650957,522.400501420083
2019,296.165408958922,344.574876287291,404.530727594573
2020,125.451780474791,186.04314743052,275.681631740991
2021,306.229002637396,372.868158378896,457.678730567734
2022,397.183466328578,498.789369705985,636.330024804839
2023,274.647635962087,348.423855946679,445.072893541767
