"Variable","Q_0.025","Q_0.5","Q_0.975"
2011,183.53395107407,228.675729429601,293.288375703261
2012,206.59653481992,271.792946923284,366.082238991166
2013,157.535075864601,261.788810171059,438.287026525968
2014,148.901852183847,268.022774199121,497.650599187476
2015,140.897635891736,234.217897849974,391.392511773793
2016,195.687709585114,226.421956012466,265.96633381907
2017,221.168303952073,248.633935801543,281.730411873084
2018,155.788429351005,190.971577082122,235.448113316094
2019,181.325760587095,210.964209971811,247.671874037494
2020,275.993917044541,409.294924347143,606.49958983018
2021,232.578989344858,283.191006363719,347.604099165368
2022,123.797444050466,155.466816531736,198.336631108002
2023,204.737328626283,259.734147160251,331.781611549317
