"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,54.3780041764543,116.073326428974,150.478178417303
2010,123.897898972244,172.040875107275,205.038492119179
2011,123.957106448006,185.193301743941,243.175527197056
2012,86.526785393602,145.415156906114,217.713954881311
2013,45.014015097753,137.842098447476,374.556115759517
2014,82.7119196971911,162.302737984843,285.134184954029
2015,46.6935469731903,111.863441958401,232.10113314435
2016,108.121809811291,148.420660791906,179.17069186157
2017,105.995677631595,133.193471306768,148.005108018444
2018,110.216497580656,157.640000306484,204.781712133083
2019,113.858221103971,155.422919320537,187.81484495173
2020,83.9796092888715,150.298704884269,234.178609825195
2021,100.415540030398,156.568064396247,216.363361990853
2022,85.5309151463786,175.241134137481,303.562315159729
2023,69.5965729309785,127.21724612904,193.661815254417
