"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,8.15670062646814,17.4109989643461,22.5717267625955
2010,18.5846848458367,25.8061312660912,30.7557738178768
2011,18.5935659672009,27.7789952615912,36.4763290795585
2012,12.9790178090403,21.8122735359171,32.6570932321966
2013,6.75210226466295,20.6763147671214,56.1834173639276
2014,12.4067879545787,24.3454106977265,42.7701277431043
2015,7.00403204597855,16.7795162937602,34.8151699716526
2016,16.2182714716936,22.2630991187859,26.8756037792355
2017,15.8993516447392,19.9790206960153,22.2007662027666
2018,16.5324746370984,23.6460000459725,30.7172568199625
2019,17.0787331655956,23.3134378980806,28.1722267427595
2020,12.5969413933307,22.5448057326404,35.1267914737793
2021,15.0623310045597,23.4852096594371,32.4545042986279
2022,12.8296372719568,26.2861701206222,45.5343472739593
2023,10.4394859396468,19.082586919356,29.0492722881625
