"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,40.8909168004428,52.5437783359297,112.07827116768
2010,29.4777490343472,35.060907341815,48.6838175059254
2011,24.8833847618805,32.5737258806513,48.7388490864589
2012,27.5675827078388,41.1569472274988,68.9805074786815
2013,16.0144519737118,43.1148656801906,132.198118484734
2014,21.2521495407571,36.5233181366096,70.732215173146
2015,25.1283641114566,51.7989613415924,124.303552529427
2016,32.5095491055258,39.1321284557415,53.6243071167653
2017,34.3016038363912,37.9339378995929,47.5311012543367
2018,26.7629881606851,34.528221096174,49.5461060310768
2019,29.0905125206726,34.8428048307808,47.3786437167405
2020,22.7092365904196,34.8994137296578,61.0639863572335
2021,23.5599167282608,32.1514204479611,49.7614957040049
2022,16.3910284765973,28.0341028918824,56.6272511879461
2023,25.6408362641312,38.6053625334256,70.6141196073157
