"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,871.013004265111,915.711879510864,970.059839354715
2010,882.558001989761,903.833883038492,930.75536639421
2011,874.32847383547,904.466582900996,940.368089973359
2012,844.590119176659,896.763854659175,954.90953209692
2013,805.597708997528,890.284136067535,986.887282781663
2014,780.738827379209,888.774360056138,1018.15538181122
2015,794.710856233296,867.382252285652,950.277233344042
2016,848.45231480027,870.527248111275,898.017733679435
2017,740.848152682791,757.384191013,778.739601407551
2018,774.235566701711,816.859458610988,866.265812166634
2019,772.110988663357,811.593242920039,857.164843371945
2020,708.580450392655,787.719419240323,877.270939614338
2021,699.43523534755,755.333470253402,821.902872044761
2022,656.383275367045,734.48024675257,824.449682671327
2023,679.06220330094,737.094738948253,805.578883227981
