"Variable","Q_0.025","Q_0.5","Q_0.975"
2011,185.301315047376,230.877792009294,296.112634135959
2012,206.86600856099,272.147459462749,366.559737563763
2013,380.784783375578,632.780952584903,1059.40235554563
2014,111.974192842253,201.553126197739,374.233250588982
2015,152.819743544113,254.036335360357,424.510339693114
2016,320.484015924652,370.81847352722,435.581564850489
2017,332.637129143918,373.94543944552,423.722539457119
2018,324.916242965189,398.2950954519,491.056471334878
2019,278.395484421387,323.900383710053,380.258883938899
2020,117.924673646304,174.880558584689,259.140733836532
2021,287.855262479153,350.496068876163,430.21800673367
2022,373.352458348864,468.862007523626,598.150223316549
2023,258.168777804362,327.518424589878,418.368519929261
