"","Value","Std.Error","DF","t-value","p-value","term"
"(Intercept)",1.98738450827879,0.00600417269901876,8018,331.000557096498,0,"(Intercept)"
"locb",-0.262314261667386,0.0192408641686499,2134,-13.6331850465837,1.21646942816404e-40,"locb"
"locp",-0.24899065155828,0.0147660387960439,2134,-16.8623863852362,5.470450510893e-60,"locp"
"sexm",-0.182374904991649,0.00854461488341022,8018,-21.3438414112423,2.33543677951001e-98,"sexm"
"as.factor(year)2009",0.0186705021675744,0.00234705345895688,8018,7.9548687296932,2.03829815085577e-15,"as.factor(year)2009"
"as.factor(year)2010",0.0428619652122678,0.00240776847884913,8018,17.8015309980115,1.48183004533255e-69,"as.factor(year)2010"
"as.factor(year)2011",0.0250519009414553,0.00219888524269859,8018,11.3930006236752,7.68054997288297e-30,"as.factor(year)2011"
"as.factor(year)2012",0.0427474856662324,0.00284972939913139,8018,15.0005420441892,3.47793363174765e-50,"as.factor(year)2012"
"as.factor(year)2013",0.068055398359597,0.00343863357248751,8018,19.7914075242294,3.71970370337388e-85,"as.factor(year)2013"
"as.factor(year)2014",0.0648407091507188,0.00351315629963128,8018,18.4565398236122,1.59161898598475e-74,"as.factor(year)2014"
"as.factor(year)2015",0.0782601893413725,0.00293130952153985,8018,26.698029930412,1.62750118992204e-150,"as.factor(year)2015"
"as.factor(year)2016",0.0846892751859707,0.00228576794495287,8018,37.0506880949881,1.62880402485587e-277,"as.factor(year)2016"
"as.factor(year)2017",0.0633781793526546,0.0022902158660253,8018,27.6734522246797,4.49838056458493e-161,"as.factor(year)2017"
"as.factor(year)2018",0.0862525389730182,0.00258817754059679,8018,33.3255882257327,3.53482812290808e-228,"as.factor(year)2018"
"as.factor(year)2019",0.0559632237146465,0.00257148742281693,8018,21.7629778073508,4.48708169321455e-102,"as.factor(year)2019"
"as.factor(year)2020",0.0675803949045178,0.00325583235633438,8018,20.7567182545615,2.92508211423305e-93,"as.factor(year)2020"
"as.factor(year)2021",0.0749802714935529,0.00277449825881268,8018,27.0248039462241,5.12098547619482e-154,"as.factor(year)2021"
"as.factor(year)2022",0.0934321601102558,0.00280697192977926,8018,33.2857479332197,1.13515844159486e-227,"as.factor(year)2022"
"as.factor(year)2023",0.109418750657626,0.00298372822538004,8018,36.6718220938804,2.52299281770154e-272,"as.factor(year)2023"
"seasonsum",0.0030511154073696,0.00107084509392498,8018,2.84925936036772,0.00439327941708479,"seasonsum"
"locb:sexm",0.0985852153252579,0.0244489768983035,2134,4.03228387573546,5.71781646424726e-05,"locb:sexm"
"locp:sexm",0.174258778120782,0.0165217557194701,2134,10.5472312434341,2.17866166392453e-25,"locp:sexm"
