"(Intercept)","as.factor(year)","loc","season","sex","loc:season","loc:sex","R^2","df","logLik","AICc","delta","weight"
1.98741481115136,"+","+","+","+",NA,"+",0.838249339071223,26,14229.3312635399,-28406.5241610603,0,0.539126867959068
1.98603484653435,"+","+","+","+","+","+",0.8383064735661,28,14231.1284402388,-28406.096801621,0.427359439298016,0.435402634748461
1.98971856522643,"+","+",NA,"+",NA,"+",0.838120269874112,25,14225.2737024538,-28400.4193008477,6.1048602126466,0.0254704972924702
1.96629686663347,"+","+","+","+",NA,NA,0.836504783539558,24,14174.7593859779,-28301.4005337057,105.123627354686,8.02389684919218e-24
1.96463624407559,"+","+","+","+","+",NA,0.83656875795671,26,14176.7502793775,-28301.3621927356,105.161968324763,7.87153989900901e-24
1.96859473925578,"+","+",NA,"+",NA,NA,0.836366607549911,23,14170.4619856161,-28294.8152027593,111.708958301067,2.98125339695886e-25
1.91334666303729,"+","+","+",NA,"+",NA,0.831739072117149,25,14028.5987664858,-28007.0694289117,399.454732148595,9.79936659040948e-88
1.91555859536851,"+","+","+",NA,NA,NA,0.831666637766332,23,14026.4093440321,-28006.7099195912,399.81424146911,8.18712738501472e-88
1.91786051464117,"+","+",NA,NA,NA,NA,0.831519898928235,22,14021.9768578167,-27999.854021022,406.670140038343,2.65700327156252e-89
1.92693005139654,"+",NA,"+","+",NA,NA,0.830177939755786,22,13981.6189594843,-27919.1382243572,487.385936703165,7.89186308601555e-107
1.92936295233785,"+",NA,NA,"+",NA,NA,0.830005687095619,21,13976.4617662084,-27910.8325158683,495.691645192037,1.24056024506308e-108
1.79474171104981,"+",NA,"+",NA,NA,NA,0.818580698210998,21,13645.5730002276,-27249.0549839068,1157.46917715358,2.4572688226669e-252
1.79711608595396,"+",NA,NA,NA,NA,NA,0.818375978426985,20,13639.8358907167,-27239.5890472662,1166.9351137941,2.16247276217034e-254
2.05476054347816,NA,"+","+","+","+","+",0.783269912119858,13,12740.8917224643,-25455.747618157,2950.77654290338,0
2.05961702911153,NA,"+","+","+",NA,"+",0.783086920173397,11,12736.5984225522,-25451.1708659664,2955.35329509392,0
2.06068992858904,NA,"+",NA,"+",NA,"+",0.783005414330069,10,12734.6873236579,-25449.3530001643,2957.17116089606,0
2.03156371494372,NA,"+","+","+","+",NA,0.780562919896167,11,12677.7478305704,-25333.4696820029,3073.05447905746,0
2.03658841505366,NA,"+","+","+",NA,NA,0.780356364841935,9,12672.9617144789,-25327.9057193947,3078.61844166564,0
2.03766467062985,NA,"+",NA,"+",NA,NA,0.780265492194286,8,12670.8575171146,-25325.7008679725,3080.82329308785,0
1.9778290792434,NA,"+","+",NA,"+",NA,0.773349119212548,10,12513.2071720794,-25006.3926970074,3400.13146405292,0
1.98331934761699,NA,"+","+",NA,NA,NA,0.773115811480037,8,12507.9734575542,-24999.9327488516,3406.59141220875,0
1.98439936379909,NA,"+",NA,NA,NA,NA,0.773020197498568,7,12505.8301355875,-24997.649254059,3408.8749070013,0
1.99585014882086,NA,NA,"+","+",NA,NA,0.770382199858152,7,12447.049085338,-24880.0871535601,3526.43700750024,0
1.99699200744626,NA,NA,NA,"+",NA,NA,0.770269997803946,6,12444.5639450665,-24877.1196281088,3529.40453295149,0
1.85464356769226,NA,NA,"+",NA,NA,NA,0.75279495329607,6,12071.6185521894,-24131.2288423547,4275.29531870566,0
1.85576650102236,NA,NA,NA,NA,NA,NA,0.752657916539565,5,12068.7993830722,-24127.592865279,4278.93129578133,0
