"contrast","estimate","SE","df","t.ratio","p.value"
"k f TRUE - b f TRUE",0.262314280905007,0.0192408619725898,2134,13.6331876024419,6.51375620108752e-11
"k f TRUE - p f TRUE",0.248990669985792,0.0147660375994509,2134,16.8623889996766,6.51375620108752e-11
"k f TRUE - k m TRUE",0.182374948371661,0.00854461570617274,8018,21.3438444329229,2.77957656891203e-11
"k f TRUE - b m TRUE",0.346103970967386,0.0147878667998267,2134,23.4045907805608,6.51375620108752e-11
"k f TRUE - p m TRUE",0.257106797081059,0.00677685481361006,2134,37.9389560721749,6.51375620108752e-11
"b f TRUE - p f TRUE",-0.013323610919215,0.0228918191698362,2134,-0.582024994185306,0.992224631107359
"b f TRUE - k m TRUE",-0.0799393325333459,0.019651463078796,2134,-4.06785653632074,0.000698685507152574
"b f TRUE - b m TRUE",0.083789690062379,0.022907370618626,2134,3.65776113973768,0.00354539001283061
"b f TRUE - p m TRUE",-0.00520748382394759,0.0187622890953362,2134,-0.277550558862352,0.99977864234354
"p f TRUE - k m TRUE",-0.0666157216141309,0.0152971365452703,2134,-4.35478374772878,0.000202072085403016
"p f TRUE - b m TRUE",0.0971133009815939,0.0193054720024744,2134,5.03035103048228,7.86789370543772e-06
"p f TRUE - p m TRUE",0.00811612709526738,0.0141404681776642,2134,0.573964524603742,0.992711490608834
"k m TRUE - b m TRUE",0.163729022595725,0.0153181102524533,2134,10.6885914709684,6.5194405429736e-11
"k m TRUE - p m TRUE",0.0747318487093983,0.00786748811979173,2134,9.49881939082948,6.51916298721744e-11
"b m TRUE - p m TRUE",-0.0889971738863266,0.0141639740484039,2134,-6.28334770892603,6.06641215039616e-09
